# A hand-written library: nuclide, half life in seconds, energy in keV, yield %
Am-241, 13650777600, 59.541, 35.9
Cs-137, 949252608, 661.657, 85.1
Co-60, 166344000, 1173.228, 99.85
Co-60, 166344000, 1332.492, 99.9826
K-40, 39390336000000000, 1460.822, 10.66
